vhigh,vhigh,2,2,small,low,68500,unacc
vhigh,vhigh,2,2,small,med,72200,unacc
vhigh,vhigh,2,2,small,high,79900,unacc
vhigh,vhigh,2,2,med,low,34500,unacc
vhigh,vhigh,2,2,med,med,53100,unacc
vhigh,vhigh,2,2,med,high,68100,unacc
vhigh,vhigh,2,2,big,low,4900,unacc
vhigh,vhigh,2,2,big,med,58400,unacc
vhigh,vhigh,2,2,big,high,42000,unacc
vhigh,vhigh,2,4,small,low,11300,unacc
vhigh,vhigh,2,4,small,med,19600,unacc
vhigh,vhigh,2,4,small,high,52400,unacc
vhigh,vhigh,2,4,med,low,50000,unacc
vhigh,vhigh,2,4,med,med,1400,unacc
vhigh,vhigh,2,4,med,high,41900,unacc
vhigh,vhigh,2,4,big,low,67300,unacc
vhigh,vhigh,2,4,big,med,28300,unacc
vhigh,vhigh,2,4,big,high,11300,unacc
vhigh,vhigh,2,more,small,low,28900,unacc
vhigh,vhigh,2,more,small,med,45400,unacc
vhigh,vhigh,2,more,small,high,35900,unacc
vhigh,vhigh,2,more,med,low,50600,unacc
vhigh,vhigh,2,more,med,med,63500,unacc
vhigh,vhigh,2,more,med,high,25300,unacc
vhigh,vhigh,2,more,big,low,500,unacc
vhigh,vhigh,2,more,big,med,61200,unacc
vhigh,vhigh,2,more,big,high,23900,unacc
vhigh,vhigh,3,2,small,low,2100,unacc
vhigh,vhigh,3,2,small,med,28400,unacc
vhigh,vhigh,3,2,small,high,71600,unacc
vhigh,vhigh,3,2,med,low,38800,unacc
vhigh,vhigh,3,2,med,med,62700,unacc
vhigh,vhigh,3,2,med,high,8200,unacc
vhigh,vhigh,3,2,big,low,65700,unacc
vhigh,vhigh,3,2,big,med,40500,unacc
vhigh,vhigh,3,2,big,high,71700,unacc
vhigh,vhigh,3,4,small,low,36800,unacc
vhigh,vhigh,3,4,small,med,2900,unacc
vhigh,vhigh,3,4,small,high,17700,unacc
vhigh,vhigh,3,4,med,low,7200,unacc
vhigh,vhigh,3,4,med,med,32200,unacc
